                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5981,                 2.4922,                 1.4673,                0.88823,                0.67647,                0.78664,                0.47121,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 1.4023,                 1.0957,                 1.2784,                0.90319,                0.68607,                0.84827,                0.50917,                      0,                    inf,                      0,               0.040735,              0.0065247,              0.0065247
                      2,                 1.4143,                 1.1296,                 1.2988,                0.76263,                0.73529,                0.75649,                0.42552,                      0,                    inf,                      0,               0.010626,              0.0097487,              0.0097487
                      3,                 1.4456,                   1.02,                 1.2855,                0.65386,                0.69451,                0.68473,                 0.3699,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      4,                  1.405,                 1.1269,                 1.2342,                0.70421,                0.72059,                0.77491,                0.44088,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3571,                0.96643,                 1.2088,                0.69072,                   0.75,                0.73926,                0.42187,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                      6,                 1.3734,                0.93016,                  1.235,                0.82244,                0.64706,                0.77784,                0.35557,                      0,                    inf,                      0,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.3302,                0.91271,                 1.2533,                0.79184,                0.69118,                0.73462,                0.38203,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      8,                 1.3696,                0.89117,                 1.2726,                0.79327,                0.63235,                0.70133,                0.37099,                      0,                    inf,                      0,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.3287,                0.86806,                 1.2403,                0.86941,                0.61765,                0.73624,                0.38539,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     10,                 1.3222,                0.84825,                 1.2545,                0.84137,                0.77941,                0.85623,                0.41528,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
